properties - ETA,properties - FIL,properties - NAME,properties - PLACES,properties - ind,properties - BACS
Université de Versailles - Saint Quentin en Yvelines (Public),2028,Licence - Lettres Modernes,68,99,68;25;6
Université de Versailles - Saint Quentin en Yvelines (Public),2029,Licence - Parcours Espagnol,82,100,69;23;7
Université de Versailles - Saint Quentin en Yvelines (Public),2029,Licence - Parcours Anglais,144,99,63;23;11
Université de Versailles - Saint Quentin en Yvelines (Public),2006,Licence - Administration économique et sociale,186,99,60;25;13
Université de Versailles - Saint Quentin en Yvelines (Public),2005,Licence - Portail Économie et Gestion,220,100,84;11;3
Université de Versailles - Saint Quentin en Yvelines (Public),2013,Licence - Sociologie,106,100,55;28;13
Université de Versailles - Saint Quentin en Yvelines (Public),2012,Licence - Géographie,58,100,72;22;2
Université de Versailles - Saint Quentin en Yvelines (Public),2010,Licence - Histoire,160,100,71;20;8
Université d'Amiens (Public),2039,Licence - Sciences de la vie et de la terre,225,99,89;9;1
Université d'Amiens (Public),2034,Licence - Physique,54,100,78;9;9
Université d'Amiens (Public),2020,Licence - ACTIVITES PHYSIQUES ADAPTEES ET DE SANTE (Portail STAPS),199,100,73;21;4
Université d'Amiens (Public),2020,"Licence - EDUCATION ET MOTRICITE (AMIENS, Portail STAPS)",275,100,68;25;6
Université d'Amiens (Public),2020,Licence - ENTRAINEMENT SPORTIF ET OPTIMISATION DE LA PERFORMANCE SPORTIVE (Portail STAPS),274,100,64;24;11
Université d'Amiens (Public),2035,Licence - Chimie,72,100,79;20;0
Université d'Amiens (Public),2032,Licence - Informatique,200,99,70;22;6
Université d'Amiens (Public),2033,Licence - Mathématiques,90,100,81;13;3
Université d'Amiens (Public),2043,Licence - Sciences pour la santé,225,99,68;30;1
Université d'Amiens (Public),2010,Licence - Histoire,205,100,76;21;2
Université d'Amiens (Public),2014,Licence - Psychologie,560,100,64;24;9
Université d'Amiens (Public),2012,Licence - Géographie et aménagement,65,99,83;12;0
Université d'Amiens (Public),2028,Licence - Lettres,130,100,71;12;14
Université d'Amiens (Public),2030,Licence - Langues étrangères appliquées,250,100,75;17;7
Université d'Amiens (Public),2029,"Licence - Langues, littératures & civilisations étrangères et régionales",250,100,79;13;5
Université d'Amiens (Public),2002,Licence - Droit,536,100,80;15;3
Université d'Amiens (Public),2005,Licence - Economie et gestion,378,99,66;24;8
Université d'Amiens (Public),2002,"Licence - DROIT, ANGLAIS",40,43,100;0;0
Université d'Amiens (Public),2045,Licence - PREMIERE ANNEE COMMUNE DES ETUDES DE SANTE (PACES),1180,98,95;3;1
Institut national universitaire Champollion (Public),2029,Licence - Anglais,100,99,87;5;7
Institut national universitaire Champollion (Public),2002,Licence - Droit,200,100,75;15;9
Institut national universitaire Champollion (Public),2012,Licence - Géographie et aménagement,60,100,81;12;6
Institut national universitaire Champollion (Public),2014,Licence - Psychologie,170,100,71;17;11
Institut national universitaire Champollion (Public),2010,Licence - Histoire,110,98,84;9;5
Institut national universitaire Champollion (Public),2013,Licence - Sociologie,100,100,58;26;13
Institut national universitaire Champollion (Public),2037,Licence - Sciences de la vie,100,99,91;4;2
Institut national universitaire Champollion (Public),2036,"Licence - Physique, chimie",45,100,79;16;0
Institut national universitaire Champollion (Public),2032,Licence - Programmation informatique pour l'entreprise et l'innovation technologique,60,100,63;31;4
Institut national universitaire Champollion (Public),2033,Licence - Mathématiques,60,100,100;0;0
Université Toulouse 1 - Antenne de Montauban (Public),2002,Licence - parcours Droit,150,100,72;22;5
Université de Toulon (Public),2029,"Licence - Licence Langues, Littératures et Civilisations Etrangères et Régionales - Spécialité Anglais",135,100,73;11;13
Université de Toulon (Public),2029,"Licence - Licence Langues, Littératures et Civilisations Etrangères et Régionales - Spécialité Espagnol",75,100,80;6;12
Université de Toulon (Public),2030,Licence - Licence Langues Etrangères Appliquées - Parcours Anglais/Allemand,40,94,64;14;21
Université de Toulon (Public),2028,Licence - Licence de Lettres ,140,100,75;15;6
Université de Toulon (Public),2002,Licence - Licence de Droit - Campus Toulon Centre Ville,460,99,69;17;11
Université de Toulon (Public),2005,Licence - Licence d'Economie et Gestion - Campus Toulon Centre Ville,335,99,58;19;21
Université de Toulon (Public),2020,Licence - Licence STAPS ,350,100,70;21;7
Université de Toulon (Public),2037,Licence - Licence de Biologie ,160,98,78;20;0
Université de Toulon (Public),2036,Licence - Licence de Physique et Chimie ,90,100,80;18;1
Université de Toulon (Public),2033,Licence - Licence de Mathématiques ,90,100,87;11;1
Université de Toulon - Antenne de Draguignan (Public),2002,Licence - Licence de Droit - Campus Draguignan,150,99,69;22;7
Avignon Université (Public),2030,Licence - Anglais - Espagnol,145,100,53;28;16
Avignon Université (Public),2029,Licence - ESPAGNOL,120,100,62;21;13
Avignon Université (Public),2029,Licence - Anglais ,130,100,69;16;12
Avignon Université (Public),2028,Licence - Lettres,140,100,64;4;27
Avignon Université (Public),2030,Licence - Anglais - Allemand,80,98,75;20;4
Avignon Université (Public),2002,Licence - Droit,303,100,64;20;12
Avignon Université (Public),2006,Licence - Science Politique et Europe,200,99,69;18;10
Avignon Université (Public),2012,Licence - Géographie et aménagement,120,100,63;22;11
Avignon Université (Public),2023,Licence - Information et communication,110,56,93;6;0
Avignon Université (Public),2010,Licence - Histoire,200,100,64;18;14
Avignon Université (Public),2032,Licence - Informatique,95,100,70;16;12
Avignon Université (Public),2039,Licence - Sciences de la vie et de la terre,75,98,88;6;4
Avignon Université (Public),2033,Licence - Mathématiques Générales,120,100,78;9;6
Avignon Université (Public),2034,Licence - Physique,100,100,85;7;4
ICES - Institut Catholique de Vendée (Privé enseignement supérieur),2029,Licence - LLCER anglais ,60,99,96;3;0
ICES - Institut Catholique de Vendée (Privé enseignement supérieur),2028,Licence - Lettres,50,96,100;0;0
ICES - Institut Catholique de Vendée (Privé enseignement supérieur),2002,Licence - Droit,140,98,92;8;0
ICES - Institut Catholique de Vendée (Privé enseignement supérieur),2036,"Licence - Physique, chimie",50,100,87;0;0
ICES - Institut Catholique de Vendée (Privé enseignement supérieur),2033,Licence - Mathématiques,50,100,95;4;0
ICES - Institut Catholique de Vendée (Privé enseignement supérieur),2037,Licence - Biologie ,60,99,91;8;0
ICES - Institut Catholique de Vendée (Privé enseignement supérieur),2010,Licence - Histoire,60,94,89;7;2
Université de Nantes (La Roche) (Public),2030,"Licence - LEA : LV1:anglais - LV2:chinois, allemand, espagnol, italien",115,100,78;11;9
Université de Nantes (La Roche) (Public),2002,Licence - Droit,120,100,82;11;4
Université de Nantes (La Roche) (Public),2002,Licence - Double cursus : Droit - LEA,190,100,98;1;0
Université de Limoges (Public),2013,Licence - Sociologie,300,100,62;25;11
Université de Limoges (Public),2012,Licence - Géographie et aménagement,100,100,74;18;2
Université de Limoges (Public),2010,Licence - Histoire,300,100,66;19;14
Université de Limoges (Public),2037,Licence - Parcours  classique,250,99,89;9;0
Université de Limoges (Public),2020,Licence - STAPS  Limoges,170,71,84;13;1
Université de Limoges (Public),2033,Licence - Parcours commun Maths Info Physique Chimie Génie Civil,75,100,80;13;3
Université de Limoges (Public),2045,Licence - PACES,810,100,96;2;0
Université de Limoges (Public),2030,Licence - Anglais / Espagnol,120,99,75;19;5
Université de Limoges (Public),2021,Licence - Sciences du langage,160,100,90;7;1
Université de Limoges (Public),2029,Licence - Espagnol,60,100,84;11;3
Université de Limoges (Public),2030,Licence - Anglais / Allemand,25,96,87;12;0
Université de Limoges (Public),2029,Licence - Anglais,150,100,87;8;2
Université de Limoges (Public),2005,Licence - Parcours classique,120,99,74;13;12
Université de Limoges (Public),2006,Licence - Parcours classique,170,100,72;14;13
Université de Limoges (Public),2002,Licence - Droit Limoges,400,100,81;13;4
Université de Limoges (Public),2006,Licence - Parcours Gestion immobilière et métiers de l'immobilier,30,26,66;33;0
Université de Lorraine - Faculté Droit Sciences économiques Gestion - Site d'Epinal (Public),2002,Licence - Droit,160,99,70;18;10
Université de Franche-Comté - Site de Belfort (Public),2036,"Licence - Physique, chimie",30,100,62;25;12
Université de Franche-Comté - Site de Belfort (Public),2044,Licence - Choix d'1 parcours (en 3e année de Licence) : Ingénierie électrique et énergie / Thermique et énergétique,30,98,50;50;0
Université de Franche-Comté - Site de Belfort (Public),2002,Licence - Droit,90,99,58;24;16
Université de Franche-Comté - Site de Belfort (Public),2006,"Licence -  Administration et Gestion des Entreprises, Ressources Humaines",80,99,54;39;6
"Université Paris-Sud, campus d'Orsay (Public)",2037,Licence - Portail Biologie-Chimie-Sciences de la Terre (BCST),340,78,95;4;0
"Université Paris-Sud, campus d'Orsay (Public)",2036,Licence - Portail Physique-Chimie-Sciences de la Terre (PCST),170,99,90;8;0
"Université Paris-Sud, campus d'Orsay (Public)",2033,Licence - Portail Mathématiques-Physique-Informatique (MPI),200,100,89;8;1
"Université Paris-Sud, campus d'Orsay (Public)",2034,Licence - Double licence Mathématiques et Physique,50,62,97;2;0
"Université Paris-Sud, campus d'Orsay (Public)",2037,Licence - Double licence Biologie et Mathématiques ,25,75,100;0;0
"Université Paris-Sud, campus d'Orsay (Public)",2033,Licence - Double licence Economie et Mathématiques,30,57,100;0;0
"Université Paris-Sud, campus d'Orsay (Public)",2020,Licence - Tronc Commun STAPS,305,49,91;7;1
"Université Paris-Sud, campus d'Orsay (Public)",2020,Licence - STAPS - Spécialité Equitation,25,21,100;0;0
"Université Paris-Sud, campus d'Orsay (Public)",2020,Licence - STAPS - Préparation à l'entrée à l'Ecole de Kinésithérapie et de Rééducation de Saint Maurice et à certains IFMK d'Ile de France,75,20,100;0;0
Université d'Evry Val d'Essonne (Public),2006,Licence - Administration économique et sociale,280,100,52;33;13
Université d'Evry Val d'Essonne (Public),2002,Licence - Droit,470,100,61;25;12
Université d'Evry Val d'Essonne (Public),2005,Licence - Economie et gestion,235,90,90;7;2
Université d'Evry Val d'Essonne (Public),2032,Licence - Informatique,140,75,80;20;0
Université d'Evry Val d'Essonne (Public),2033,Licence - Mathématiques,90,100,78;14;5
Université d'Evry Val d'Essonne (Public),2037,Licence - Sciences de la vie,235,100,78;20;1
Université d'Evry Val d'Essonne (Public),2036,"Licence - Physique, chimie",170,100,76;14;8
Université d'Evry Val d'Essonne (Public),2020,Licence - Sciences et Techniques des Activités Physiques et Sportives,170,54,73;23;2
Université d'Evry Val d'Essonne (Public),2013,Licence - Sociologie,265,100,41;40;16
Université d'Evry Val d'Essonne (Public),2010,Licence - Histoire,185,100,46;25;27
Université d'Evry Val d'Essonne (Public),2027,Licence - Musicologie,97,100,75;13;10
Université d'Evry Val d'Essonne (Public),2030,Licence - Langues étrangères appliquées,160,100,60;23;15
Université Paris Nanterre (Public),2002,Licence - Droit - économie,63,56,93;2;3
Université Paris Nanterre (Public),2005,Licence - Economie et gestion - langue et sociétés du monde anglophone,95,65,97;2;0
Université Paris Nanterre (Public),2005,Licence - Economie et gestion - langue et sociétés espagnoles et hispano-américaines,35,60,88;8;2
Université Paris Nanterre (Public),2054,Licence - Droit français - common law,140,28,100;0;0
Université Paris Nanterre (Public),2054,Licence - Droit français - droits espagnol et latino-américains,70,66,94;5;0
Université Paris Nanterre (Public),2002,Licence - Droit,870,65,84;11;3
Université Paris Nanterre (Public),2054,Licence - Droit français - droit italien,35,96,97;0;2
Université Paris Nanterre (Public),2005,Licence - Economie et gestion,385,61,86;11;2
Université Paris Nanterre (Public),2005,Licence - Economie et gestion - langue et société allemandes,30,100,83;12;4
Université Paris Nanterre (Public),2054,Licence - Droit français - droit russe,35,99,86;5;5
Université Paris Nanterre (Public),2054,Licence - Droit français - droit allemand,80,100,97;1;1
Université Paris Nanterre (Public),2006,Licence - Administration économique et sociale,282,56,91;6;1
Université Paris Nanterre (Public),2011,Licence - Histoire de l'art et archéologie,157,100,67;13;15
Université Paris Nanterre (Public),2010,Licence - Histoire,120,99,59;22;15
Université Paris Nanterre (Public),2021,Licence - Sciences du langage,115,100,72;18;6
Université Paris Nanterre (Public),2014,Licence - Psychologie,595,54,79;13;4
Université Paris Nanterre (Public),2012,Licence - Géographie et aménagement,58,100,67;19;10
Université Paris Nanterre (Public),2013,Licence - Sociologie,170,100,63;22;10
Université Paris Nanterre (Public),2012,"Licence - parcours franco-italien : territoire, patrimoine et tourisme",20,100,73;0;26
Université Paris Nanterre (Public),2030,Licence - Tout couple de langues sans l'anglais,20,91,65;20;5
Université Paris Nanterre (Public),2026,Licence - Arts du spectacle,188,92,84;8;6
Université Paris Nanterre (Public),2028,Licence - Lettres,77,100,58;10;24
Université Paris Nanterre (Public),2016,Licence - Philosophie,77,100,61;25;12
Université Paris Nanterre (Public),2009,"Licence - Humanités, lettres et sciences humaines",70,100,82;10;6
Université Paris Nanterre (Public),2029,Licence - études portugaises et brésiliennes,29,100,40;40;20
Université Paris Nanterre (Public),2029,Licence - Etudes italiennes,34,100,53;34;11
Université Paris Nanterre (Public),2029,Licence - Etudes hispaniques et hispano-américaines,67,99,53;29;16
Université Paris Nanterre (Public),2029,Licence - Sociétés germanophones et cultures européennes,34,100,77;11;11
Université Paris Nanterre (Public),2029,Licence - Etudes anglophones,168,100,67;16;14
Université Paris Nanterre (Public),2030,Licence - Espagnol - Anglais,170,59,77;15;6
Université Paris Nanterre (Public),2009,"Licence - Humanités classiques, arts et patrimoine",35,99,83;3;12
Université Paris Nanterre (Public),2009,Licence - Humanités et arts du spectacle,35,98,97;2;0
Université Paris Nanterre (Public),2020,Licence - Sciences et Techniques des Activités Physiques et Sportives,398,47,82;13;3
Université Paris Nanterre (Public),2022,Licence - Mathématiques et informatique appliquées aux sciences humaines et sociales,70,74,79;16;3
"Université Paris-Sud, campus de Sceaux (Public)",2002,Licence - Droit - Campus de Sceaux,325,61,94;4;1
"Université Paris-Sud, campus de Sceaux (Public)",2002,Licence - parcours Langues et Civilisations - option Anglais et Allemand,30,77,100;0;0
"Université Paris-Sud, campus de Sceaux (Public)",2002,Licence - parcours Langues et Civilisations - option Anglais et Espagnol,30,34,100;0;0
"Université Paris-Sud, campus de Sceaux (Public)",2002,Licence - Droit - parcours Ecole du Louvre,30,61,100;0;0
Université Paris Nanterre - Ville-d'Avray (Public),2044,Licence - Sciences pour l'ingénieur,38,75,100;0;0
Université Paris 13 (Public),2005,Licence - Economie et gestion,337,89,74;15;9
Université Paris 13 (Public),2006,Licence - Administration économique et sociale,250,93,67;22;9
Université Paris 13 (Public),2007,Licence - Sociologie politique,130,98,58;24;16
Université Paris 13 (Public),2002,Licence - Droit,335,99,64;25;9
Université Paris 13 (Public),2033,Licence - Mathématiques,230,100,77;16;5
Université Paris 13 (Public),2032,Licence - Informatique,145,51,95;4;0
Université Paris 13 (Public),2036,"Licence - Physique, chimie",130,97,76;17;5
Université Paris 13 (Public),2023,Licence - Information et communication,140,49,87;8;3
Université Paris 13 (Public),2014,Licence - Psychologie,300,69,92;4;2
Université Paris 13 (Public),2029,Licence -  Anglais,150,98,39;30;28
Université Paris 13 (Public),2028,Licence - Lettres,84,97,32;24;41
Université Paris 13 (Public),2029,Licence - Espagnol,60,100,36;25;38
Université Paris 13 (Public),2029,Licence - Anglais et Espagnol,40,100,52;29;17
Université Paris 13 - Antenne de Bobigny (Public),2008,Licence - Sciences sanitaires et sociales,235,63,14;83;1
Université Paris 13 - Antenne de Bobigny (Public),2020,Licence - Sciences et techniques des activités physiques et sportives (STAPS),330,47,78;17;4
Université Paris 13 - Antenne de Bobigny (Public),2037,Licence - Sciences de la vie,150,44,84;12;2
Université Paris 8 (Public),2027,Licence - Musicologie,145,99,70;17;9
Université Paris 8 (Public),2029,Licence - Anglais,175,98,43;28;27
Université Paris 8 (Public),2030,Licence - Anglais / Espagnol,122,98,58;30;10
Université Paris 8 (Public),2029,Licence -  Arabe,75,97,32;32;30
Université Paris 8 (Public),2029,Licence -  Espagnol,70,99,29;29;39
Université Paris 8 (Public),2012,Licence - Géographie et aménagement,107,100,37;28;31
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12) (Public),2020,Licence - STAPS - site de Créteil,206,50,79;17;3
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12) (Public),2033,Licence - Mathématiques et Informatique,24,49,100;0;0
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12) (Public),2002,Licence - Parcours Droit,840,99,80;15;4
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12) (Public),2005,Licence - Parcours Economie-Gestion,430,98,74;17;7
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12) (Public),2002,Licence - Parcours Jean Monnet,100,53,94;5;0
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12) (Public),2053,Licence - Parcours Shanghai,90,39,98;0;1
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12) (Public),2053,Licence - Parcours Europe,90,29,89;9;1
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12) (Public),2053,Licence - Administration et Echanges internationaux,680,82,77;21;0
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12) (Public),2002,Licence - Parcours Carrières publiques,40,12,90;9;0
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12) (Public),2030,Licence - Langues Etrangères Appliquées Anglais/Espagnol - Site de Créteil,250,100,58;28;12
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12) (Public),2015,Licence - Licence de Sciences de l'éducation,330,49,48;46;5
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12) (Public),2010,Licence - Histoire -Anglais,39,51,100;0;0
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12) (Public),2010,Licence - Histoire -Allemand,29,87,100;0;0
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12) (Public),2010,Licence - Histoire -Espagnol,34,46,80;20;0
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12) (Public),2010,Licence - Histoire -Philosophie,29,56,92;7;0
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12) (Public),2010,Licence - Histoire -Lettres,34,47,100;0;0
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12) (Public),2010,Licence - Histoire - Géographie et aménagement,34,42,90;9;0
Université de Cergy-Pontoise (Public),2002,Licence - Droit,680,100,81;14;3
Université de Cergy-Pontoise (Public),2003,"Licence - ECONOMIE, FINANCE ET GESTION + DU ECONOMICS & CORPORATE ENGLISH",35,12,100;0;0
Université de Cergy-Pontoise (Public),2002,Licence - DROIT ESPAGNOL (DU droit espagnol et latino-américain),40,38,96;3;0
Université de Cergy-Pontoise (Public),2030,Licence - LANGUES ETRANGERES APPLIQUEES ANGLAIS CHINOIS,35,61,96;3;0
Université de Cergy-Pontoise (Public),2028,"Licence - LETTRES ET ARTS VIVANTS (danse,musique, théâtre)",25,22,100;0;0
Université de Cergy-Pontoise (Public),2037,Licence - PORTAIL BIOLOGIE ET INGENIERIE,342,98,87;11;1
Université de Cergy-Pontoise (Public),2030,Licence - LANGUES ETRANGERES APPLIQUEES ANGLAIS ALLEMAND,60,99,57;26;16
Université de Cergy-Pontoise (Public),2030,Licence - LANGUES ETRANGERES APPLIQUEES ANGLAIS JAPONAIS,65,42,88;5;6
Université de Cergy-Pontoise (Public),2012,Licence - GEOGRAPHIE,155,100,44;36;17
Université de Cergy-Pontoise (Public),2033,Licence - PORTAIL MATHEMATIQUES  INFORMATIQUE PHYSIQUE ET INGENIERIE ,286,98,83;12;3
Université de Cergy-Pontoise (Public),2002,Licence - Licence Franco-Allemande intégrée en Droit,20,54,100;0;0
Université de Cergy-Pontoise (Public),2002,Licence - DROIT ANGLO-AMERICAIN (DU droit anglo-américain),170,29,98;1;0
Université de Cergy-Pontoise (Public),2030,Licence - LANGUES ETRANGERES APPLIQUEES ANGLAIS ESPAGNOL,225,100,70;22;7
Université de Cergy-Pontoise (Public),2028,Licence - LETTRES MODERNES ,170,100,71;15;11
Université de Cergy-Pontoise (Public),2003,"Licence - PORTAIL ECONOMIE, FINANCE ET GESTION",525,98,83;11;4
Université de Cergy-Pontoise (Public),2029,"Licence - LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES ET REGIONALES - ANGLAIS",130,100,70;19;8
Université de Cergy-Pontoise (Public),2029,"Licence - LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES ET REGIONALES - ESPAGNOL",70,100,63;19;15
Université de Cergy-Pontoise (Public),2010,Licence - Histoire,170,100,65;25;6
ILEPS (Privé enseignement supérieur),2020,Licence - STAPS Education et Motricité / Management du Sport,160,56,87;12;0
Université de Corte (Public),2010,Licence - Histoire,55,100,65;17;10
Université de Corte (Public),2002,Licence - Droit,180,100,79;12;4
Université de Corte (Public),2029,Licence - Anglais,55,100,78;8;8
Université de Corte (Public),2024,Licence - Arts Plastiques,30,99,47;26;21
Université de Corte (Public),2024,Licence - Arts du Spectacle,30,100,70;10;20
Université de Corte (Public),2029,Licence - Langue et Culture Corses,40,99,60;30;8
Université de Corte (Public),2005,Licence - Economie et Gestion Parcours Classique,65,100,60;29;9
Université de Corte (Public),2020,Licence - Education et Motricité,100,99,70;26;3
Université de Corte (Public),2045,Licence - Première Année commune aux études de Santé (PACES),170,100,95;3;0
Université de Corte (Public),2044,Licence - Informatique ou Mathématiques ou Physique ou Prépa Paolitech,70,100,87;12;0
Université de Corte (Public),2037,"Licence - Biochimie, Biologie moléculaire ou Biologie des Organismes, Ecologie ou Chimie de l'environnement",80,100,78;16;4
Université des Antilles - Pôle Guadeloupe (Public),2043,Licence -  Biochimie - Sciences de l'aliment (BSA) / Sciences de la santé (BSS)  - Guadeloupe,300,100,56;36;7
Université des Antilles - Pôle Guadeloupe (Public),2045,Licence - Première année commune d'études de santé (PACES) - Guadeloupe,600,100,74;17;8
Université des Antilles - Pôle Guadeloupe (Public),2036,Licence - Chimie et applications(C&A) / Physique et application (P&A) / Physique-Chimie pour l’enseignement (PCE) - Guadeloupe,150,100,65;27;6
Université des Antilles - Pôle Guadeloupe (Public),2039,Licence - Biologie des organismes et de l'environnement(BOE) / Biologie générale et sciences de la terre et de l’univers(BGSTU) / Géosciences(GEOS)- Guadeloupe,200,100,78;15;4
Université des Antilles - Pôle Martinique (Public),2010,Licence - Histoire - Martinique,75,100,68;18;12
Université des Antilles - Pôle Martinique (Public),2029,Licence - Etudes hispanophones  - Martinique,200,100,84;7;5
Université des Antilles - Pôle Martinique (Public),2002,Licence - Droit - Martinique,300,100,80;13;4
Université des Antilles - Pôle Martinique (Public),2036,"Licence - Matière, énergie environnement - Martinique",75,100,96;0;3
Université des Antilles - Pôle Martinique (Public),2045,Licence - Première Année commune aux Etudes de Santé (PACES) - Martinique,620,100,85;9;4
Université de Guyane (Public),2028,Licence - Lettres Modernes,120,100,85;12;2
Université de Guyane (Public),2044,"Licence - Electronique, électrotechnique, automatique (EEA) - Guyane",60,100,46;20;33
Université de Guyane (Public),2039,"Licence - Biochimie, biologie, biotechnologies - Guyane",100,100,47;45;6
Université de Guyane (Public),2002,"Licence - Droit, Science politique, Administration Publique",150,100,62;23;12
Université de Guyane (Public),2033,Licence - Mathématiques,30,99,53;23;15
Université de Guyane (Public),2006,"Licence - Administration, économie, finances, entreprises ",320,100,26;23;47
Université de Guyane (Public),2045,Licence - Première année commune des études de santé (PACES)- Guyane,115,100,63;13;22
Université de Guyane (Public),2030,Licence - Anglais portugais ,65,99,59;19;21
Université de La Réunion - Saint Denis (Public),2002,Licence - Droit,430,100,65;24;8
Université de La Réunion - Saint Denis (Public),2010,Licence - Histoire,120,100,48;20;30
Université de La Réunion - Saint Denis (Public),2029,Licence - Allemand,30,99,93;6;0
Université de La Réunion - Saint Denis (Public),2029,Licence - Anglais,650,100,70;18;10
Université de La Réunion - Saint Denis (Public),2029,Licence - Espagnol,220,100,75;11;13
Université de La Réunion - Saint Denis (Public),2028,Licence - Lettres,200,100,75;14;10
Université de La Réunion - Saint Denis (Public),2045,"Licence - PACES - Médecine, Pharmacie, Odontologie (dentiste), Maïeutique (sage-femmes)",500,100,76;15;7
Université de la Réunion - Le Tampon (Public),2002,Licence - Droit,360,100,65;21;13
Université de la Réunion - Le Tampon (Public),2042,Licence - Génie civil,350,100,40;41;17
Université de la Réunion - Le Tampon (Public),2020,Licence - Sciences et Techniques des Activités Physiques et Sportives,650,100,57;32;10
Université de la Polynésie française (Public),2012,"Licence - Géographie, Territoires insulaires, Aménagement, Risques, Environnement OU Géographie et Science politique",80,100,56;31;12
Université de la Polynésie française (Public),2030,Licence - LANGUES ETRANGERES APPLIQUEES: Anglais et Espagnol OU Anglais & Mandarin,160,100,54;28;16
Université de la Polynésie française (Public),2029,Licence - ANGLAIS,160,100,82;11;5
Université de la Polynésie française (Public),2029,Licence - LANGUES POLYNESIENNES,120,100,43;29;25
Université de la Polynésie française (Public),2028,Licence - LETTRES ET ARTS,80,100,80;0;20
Université de la Polynésie française (Public),2002,Licence - Droit général OU Science politique,200,100,67;25;4
Université de la Polynésie française (Public),2005,Licence - Administration des entreprises,320,100,49;23;25
Université de la Polynésie française (Public),2033,Licence - Préparation aux métiers de l'enseignement,80,100,58;21;17
Université de la Polynésie française (Public),2032,Licence - Informatique générale,80,99,46;40;12
Université de la Polynésie française (Public),2039,Licence - SCIENCES DE LA VIE,80,100,79;16;1
Université de la Polynésie française (Public),2045,Licence - PREMIERE ANNEE COMMUNE AUX  ETUDES DE SANTE (PACES),140,100,89;9;0
Institut Supérieur de l'Enseignement Privé de Polynésie (Privé enseignement supérieur),2023,Licence - Information et communication,50,59,87;6;6
Université de Toulon (Public),2044,Licence - Spécialisation renforcée sélective en vue d'intégrer Seatech,15,50,100;0;0
Université d'Orléans (Public),2002,Licence - parcours Droit européen  ,90,100,93;5;1
Université d'Orléans (Public),2002,Licence - parcours Droit-Histoire (DEG)  ,70,100,86;9;4
Université d'Orléans - Centre Univ. de Châteauroux (Public),2030,Licence - Anglais/Chinois ,30,100,55;30;15
Université de Pau et des Pays de l'Adour (Public),2013,Licence - Sociologie,80,95,76;16;6
Université Paris Nanterre (Public),2030,Licence - Chinois - Anglais,58,96,80;11;8
Université Paris Nanterre (Public),2009,"Licence - Humanités, droit, économie-gestion",90,100,88;8;2
Université Toulouse 2 Jean Jaurès (Public),2030,Licence -  Traduction-Médiation en Langue des Signes Française,17,52,80;13;6
Université Toulouse 2 Jean Jaurès (Public),2010,Licence - Histoire bilingue Français-Anglais,28,45,96;3;0
Université Toulouse 2 Jean Jaurès (Public),2010,Licence - Histoire bilingue Français-Espagnol,28,85,100;0;0
Université Clermont Auvergne (Public),2052,Licence - Etudes européennes et internationales franco-espagnoles,30,97,92;7;0
Université de Rouen Normandie - Campus Mont-Saint-Aignan (Public),2021,Licence - Sciences du langage,150,99,73;16;7
Université Paris 8 (Public),2030,Licence - Allemand / Espagnol,25,100,20;20;60
Université Paris 8 (Public),2030,Licence - Allemand / Hébreu,25,100,100;0;0
Université Paris 8 (Public),2030,Licence -  Allemand / Italien,25,100,100;0;0
Université Paris 8 (Public),2030,Licence -  Allemand / Portugais,25,100,50;50;0
Université Paris 8 (Public),2030,Licence - Allemand / Russe,25,67,33;66;0
Université Paris 8 (Public),2030,Licence -  Anglais / Arabe,70,97,44;23;30
Université Paris 8 (Public),2030,Licence -  Anglais / Hébreu,32,100,55;22;22
Université Paris 8 (Public),2030,Licence -  Anglais / Italien,32,96,61;9;29
Université Paris 8 (Public),2030,Licence -  Anglais / Portugais,32,97,38;38;23
Université Paris 8 (Public),2030,Licence -  Anglais / Russe,32,96,27;27;45
Université Paris 8 (Public),2030,Licence -  Arabe / Espagnol,27,98,17;30;47
Université Paris 8 (Public),2030,Licence -  Arabe / Hébreu,25,100,100;0;0
Université Paris 8 (Public),2030,Licence -  Arabe / Italien,25,93,20;0;80
Université Paris 8 (Public),2030,Licence -  Arabe / Portugais,25,100,0;0;100
Université Paris 8 (Public),2030,Licence - Arabe / Russe,25,100,0;0;100
